|||||
1|||||
44|Disciplina|Horário|Professor|Sala|
45|IF985 - PROJETO DE SISTEMAS DE INFORMAÇÃO|segunda, 17 - 18:40 / quinta, 18:50 - 20:30|Giordano Cabral|E113|
46|IF986 - VIAB. ECONÔMICO-FINANCEIRA DE PROJ. DE SI|quarta 18:50 - 20:30/ sexta 17:00 - 18:40|José Carlos Cavalcanti|E113|
47|IF984 - ESTÁGIO SUPERVISIONADO|terça, 07:00 -08:50/ quinta, 07:00 -08:50|Bernadette Loscio|Sala Prof.|
48|IF1014- TÓP. AVAN. EM SI 5 (ELETIVO) (Arq. Corporativas)|terça, 18:50 - 20:30 / quinta, 17 - 18:40|Simone Santos|E423|
49|AD435 - GESTÃO DE PESSOAS E EQUIPES (Eletiva)|terça, 17 - 18:40 / sexta, 18:50 - 20:30|Vera Lúcia|E113|
50|IF1001- PROGRAMAÇÃO 3 (Eletiva)(Prog. Móvel p/Android)|segunda, 18:50 - 20:30 / quarta, 17 - 18:40|Leopoldo Teixeira|GRAD3|
51|IF1012- SEMINÁRIO EM SI 5 (Eletiva)(Prog. Avançada)|quarta, 17:00 - 18:40 / sexta, 18:50 - 20:30|Henrique Rebêlo|D004|
52|
53|7º Período||||
54|Disciplina|Horário|Professor|Sala|
55|IF987 - AUDITORIA E SEGURANÇA DE SI|terca, 17 - 18:40 / quinta, 18:50 - 20:30|Adriano Lorena|E112|
56|AD432 - ESTRATÉGIA E PLANEJAMENTO|segunda, 18:50 - 20:30 / quarta, 17 - 18:40|Rosamaria Lucena|E112|
57|IF993- PROCESSOS DE SOFTWARE (Eletiva)|sexta, 17 - 18:40/ sexta 18:50 - 20:30|Célio Santana|E112|
58|IF1007- TÓP. AVAN. EM SI 4 ELETIVO (Microsserviços)|segunda, 17 - 18:40 / quarta, 18:50 - 20:30|Vinícius Garcia|E112|
59|IF998- TÓP. AVAN. EM SI 2 (Eletiva) (Sistemas Distribuídos)|terça, 18:50 - 20:30 / quinta, 17 - 18:40|Kiev Gama|E112|
60|IF997 - TÓP. AVAN. EM SI 1 (Tecnologias Educacionais) (Eletiva)|segunda, 17 - 18:40 / quarta, 18:50 - 20:30|Alex Sandro|D003|
61|||||
62|8º Período||||
63|Disciplina|Horário|Professor|Sala|
64|IF988 - EMPREENDIMENTOS EM INFORMÁTICA|segunda, 17 - 18:40 / quarta, 18:50 - 20:30|Cristiano Coelho|E121/Pitch|
65|IF989 - TENDÊNCIAS E DESAFIOS EM SI|terça, 17 - 18:40/ quinta, 18:50 - 20:30|Carla Taciana|E121|
66|IF1015- TÓP. AVAN. EM SI 6 (Eletiva) (Ciência dos Dados)|segunda, 18:50 - 20:30 / quarta, 17 - 18:40|Fernando Neto|E121|
67|IF993 - PROCESSOS DE SOFTWARE (Eletiva)|sexta, 17 - 18:40/ sexta 18:50 - 20:30|Célio Santana|E112|
68|IF990 - TRABALHO DE CONCLUSÃO DE CURSO EM SI|segunda, 07:00 - 08:50/ quarta, 07:00 - 08:50|Liliane Salgado|Sala Prof.|
